idMao,idPartida,jogadorMao,cartaAltaRobo,cartaMediaRobo,cartaBaixaRobo,cartaAltaHumano,cartaMediaHumano,cartaBaixaHumano,primeiraCartaRobo,primeiraCartaHumano,segundaCartaRobo,segundaCartaHumano,terceiraCartaRobo,terceiraCartaHumano,ganhadorPrimeiraRodada,ganhadorSegundaRodada,ganhadorTerceiraRodada,roboCartaVirada,humanoCartaVirada,quemPediuEnvido,quemPediuFaltaEnvido,quemPediuRealEnvido,pontosEnvidoRobo,pontosEnvidoHumano,quemNegouEnvido,quemGanhouEnvido,tentosEnvido,quemFlor,quemContraFlor,quemContraFlorResto,quemNegouFlor,pontosFlorRobo,pontosFlorHumano,quemGanhouFlor,tentosFlor,quemEscondeuPontosEnvido,quemEscondeuPontosFlor,quemTruco,quandoTruco,quemRetruco,quandoRetruco,quemValeQuatro,quandoValeQuatro,quemNegouTruco,quemGanhouTruco,tentosTruco,tentosAnterioresRobo,tentosAnterioresHumano,tentosPosterioresRobo,tentosPosterioresHumano,roboMentiuEnvido,humanoMentiuEnvido,roboMentiuFlor,humanoMentiuFlor,roboMentiuTruco,humanoMentiuTruco,quemBaralho,quandoBaralho,quemContraFlorFalta,quemEnvidoEnvido,quemFlorFlor,quandoCartaVirada,hasDeception,roboMentiuRound1,humanoMentiuRound1,roboMentiuRound2,humanoMentiuRound2,roboMentiuRound3,humanoMentiuRound3,naipeCartaAltaRobo,naipeCartaMediaRobo,naipeCartaBaixaRobo,naipeCartaAltaHumano,naipeCartaMediaHumano,naipeCartaBaixaHumano,naipePrimeiraCartaRobo,naipePrimeiraCartaHumano,naipeSegundaCartaRobo,naipeSegundaCartaHumano,naipeTerceiraCartaRobo,naipeTerceiraCartaHumano,quantidadeChamadasHumano,quantidadeChamadasRobo,qualidadeMaoRobo,qualidadeMaoHumano,primeiraCartaHumanoClustering,segundaCartaHumanoClustering,d,primeiraCartaRoboClustering,segundaCartaRoboClustering,terceiraCartaRoboClustering,quantidadeChamadasEnvidoRobo,quantidadeChamadasEnvidoHumano,cartaAltaRoboClustering,cartaMediaRoboClustering,cartaBaixaRoboClustering,clusterPrimeiraCartaAgentePe,clusterSegundaCartaAgenteGanhouAprimeira,clusterSegundaCartaAgentePerdeuAprimeira,clusterTerceiraCartaAgenteGanhouAsegunda,clusterGanhadorUltimaRodada,clusterTerceiraCartaAgentePerdeuAsegunda,clusterPrimeiraCartaAgenteMao,clusterQuemTruco,clusterQuandoTruco,ganhadorPrimeiraRodadaClustering,ganhadorSegundaRodadaClustering,ganhadorTerceiraRodadaClustering,ganhadorMao,clusterQuemEnvidoAgenteMao,clusterQuemFlor,id,saldoTruco,saldoEnvido,saldoFlor,clusterQuemEnvidoAgentePe,clusteringindexacao
876,2926a3ca-afcf-4c70-b5b5-275211aaaf38,2,40,12,1,24,16,4,40,24,1,4,12,16,1,2,2,null,null,0,0,0,31,32,0,0,0,2,null,null,null,null,null,null,null,null,null,2,3,0,0,0,0,0,2,2,3,5,3,10,null,2,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,31,OURO,COPAS,OURO,BASTOS,BASTOS,BASTOS,OURO,BASTOS,OURO,BASTOS,COPAS,BASTOS,0,0,0,0,16,3,-15,144,43,80,null,null,41,12,3,4,2,0,0,null,1,0,1,5,1,2,2,1,0,null,805,0,-1,null,5,null
877,2926a3ca-afcf-4c70-b5b5-275211aaaf38,1,24,24,8,40,16,7,24,40,-10,16,-10,null,2,2,2,null,null,2,0,0,23,27,1,2,1,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,2,1,3,10,3,12,null,null,null,null,null,null,1,2,null,null,null,null,null,null,null,null,null,null,null,OURO,COPAS,COPAS,OURO,ESPADAS,OURO,COPAS,OURO,null,ESPADAS,null,null,0,0,0,0,41,16,-15,80,-15,-15,null,null,16,16,7,0,0,4,0,null,2,5,1,3,2,2,2,2,1,null,806,0,-1,null,0,null
878,2926a3ca-afcf-4c70-b5b5-275211aaaf38,2,12,6,6,16,8,2,6,16,6,2,-50,null,2,1,1,null,null,1,0,0,21,22,2,1,1,null,null,null,null,null,null,null,null,null,null,1,3,0,0,0,0,2,1,1,3,12,5,12,3,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,31,null,OURO,ESPADAS,OURO,BASTOS,BASTOS,ESPADAS,OURO,BASTOS,ESPADAS,ESPADAS,null,null,0,0,0,0,16,3,-50,43,43,-50,null,null,12,7,7,5,0,1,2,null,0,0,5,5,2,1,1,1,0,null,807,0,1,null,4,null
879,2926a3ca-afcf-4c70-b5b5-275211aaaf38,1,24,16,2,42,8,3,24,42,16,8,-50,null,2,1,1,null,null,1,0,0,25,27,2,1,1,null,null,null,null,null,null,null,null,null,null,1,3,0,0,0,0,2,1,1,5,12,7,12,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,31,null,ESPADAS,ESPADAS,BASTOS,ESPADAS,ESPADAS,BASTOS,ESPADAS,ESPADAS,ESPADAS,ESPADAS,null,null,0,0,0,0,41,7,-50,144,80,-50,null,null,16,16,3,0,0,1,2,null,0,3,5,5,2,1,1,1,5,null,808,0,1,null,0,null
880,2926a3ca-afcf-4c70-b5b5-275211aaaf38,2,6,6,4,16,2,2,4,16,6,2,6,null,2,1,2,null,null,2,0,0,27,27,0,2,2,null,null,null,null,null,null,null,null,null,null,2,3,0,0,0,0,1,2,1,7,12,7,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,ESPADAS,BASTOS,BASTOS,ESPADAS,ESPADAS,BASTOS,BASTOS,ESPADAS,BASTOS,BASTOS,ESPADAS,null,0,0,0,0,16,3,-15,43,80,80,null,null,7,7,3,5,0,1,1,null,0,0,5,5,2,1,2,1,0,null,809,0,-2,null,6,null
881,2926a3ca-afcf-4c70-b5b5-275211aaaf38,1,40,12,2,52,3,3,12,3,2,3,40,52,1,2,2,null,null,1,0,0,28,27,2,1,1,null,null,null,null,null,null,null,null,null,null,2,3,1,3,2,3,0,2,4,7,15,8,19,null,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,31,31,OURO,OURO,BASTOS,ESPADAS,OURO,ESPADAS,OURO,ESPADAS,BASTOS,OURO,OURO,ESPADAS,0,0,0,0,3,3,-15,80,43,144,null,null,41,12,3,0,2,0,0,null,1,1,2,4,1,2,2,1,5,null,810,0,1,null,0,null
882,2926a3ca-afcf-4c70-b5b5-275211aaaf38,2,40,6,3,24,16,7,40,24,6,7,-15,null,1,2,2,null,null,1,0,0,7,3,2,1,1,null,null,null,null,null,null,null,null,null,null,2,3,0,0,0,0,1,2,1,8,19,9,20,3,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,31,OURO,ESPADAS,COPAS,OURO,ESPADAS,BASTOS,OURO,OURO,ESPADAS,BASTOS,null,null,0,0,0,0,16,7,-15,144,80,-15,null,null,41,7,3,4,2,0,0,null,2,0,5,5,1,2,2,1,0,null,811,0,1,null,4,null
883,2926a3ca-afcf-4c70-b5b5-275211aaaf38,1,6,2,1,7,7,2,6,7,-10,2,-10,null,2,2,2,null,null,0,0,0,5,5,0,0,0,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,2,1,9,20,9,21,null,null,null,null,null,null,1,2,null,null,null,null,1,14,14,null,null,null,null,COPAS,BASTOS,ESPADAS,ESPADAS,BASTOS,OURO,COPAS,BASTOS,null,OURO,null,null,0,0,0,0,7,3,-15,144,-15,-15,null,null,7,3,3,0,0,4,0,null,2,3,1,3,2,2,2,2,3,null,812,0,1,null,0,null
884,2926a3ca-afcf-4c70-b5b5-275211aaaf38,2,16,7,3,7,6,6,16,7,7,null,-50,null,1,1,1,null,null,1,0,0,6,20,2,1,1,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,1,1,9,21,11,21,3,null,null,null,null,null,2,2,null,null,null,null,1,14,null,null,null,null,null,OURO,BASTOS,ESPADAS,COPAS,BASTOS,COPAS,OURO,COPAS,BASTOS,null,null,null,0,0,0,0,7,-50,-50,144,-50,-50,null,null,16,7,3,4,1,0,2,null,0,0,1,3,1,1,1,1,0,null,813,0,1,null,4,null
885,2926a3ca-afcf-4c70-b5b5-275211aaaf38,1,16,7,2,8,6,3,16,3,7,8,-15,null,1,2,2,null,null,2,0,0,5,20,1,2,1,null,null,null,null,null,null,null,null,null,null,2,3,0,0,0,0,1,2,1,11,21,11,23,null,3,null,null,null,null,null,null,null,null,null,null,1,14,14,null,null,null,31,OURO,COPAS,BASTOS,COPAS,COPAS,OURO,OURO,OURO,COPAS,COPAS,null,null,0,0,0,0,3,7,-15,144,80,-15,null,null,16,7,3,0,2,0,0,null,2,3,5,5,1,2,2,1,1,null,814,0,-1,null,0,null
